"","SampleID","Site","Type","Bottle_number","Analyte","dilution","Peak_Concentration","Concentration_Units","Rep","Event_Date","Date","time","Stage","Notes","Lab","missing","Sample_ID_NOTES","cations_now"
"4020","457","SS","ISCO","11.0","TOC",1,7.733,"mg/L","2.0",2021-12-29,2021-12-29,1899-12-31 05:28:00,"flood",NA,"GEL",NA,NA,NA
"4021","458","SS","ISCO","12.0","TOC",1,8.128,"mg/L","1.0",2021-12-29,2021-12-29,1899-12-31 05:43:00,"flood",NA,"GEL",NA,NA,NA
"4022","458","SS","ISCO","12.0","TOC",1,7.96,"mg/L","2.0",2021-12-29,2021-12-29,1899-12-31 05:43:00,"flood",NA,"GEL",NA,NA,NA
"4023","459","SS","ISCO","13.0","TOC",1,7.939,"mg/L","1.0",2021-12-29,2021-12-29,1899-12-31 06:31:00,"flood",NA,"GEL",NA,NA,NA
"4024","459","SS","ISCO","13.0","TOC",1,7.858,"mg/L","2.0",2021-12-29,2021-12-29,1899-12-31 06:31:00,"flood",NA,"GEL",NA,NA,NA
"4025","460","SS","ISCO","14.0","TOC",1,8.106,"mg/L","1.0",2021-12-29,2021-12-29,1899-12-31 07:31:00,"flood",NA,"GEL",NA,NA,NA
"4026","460","SS","ISCO","14.0","TOC",1,7.961,"mg/L","2.0",2021-12-29,2021-12-29,1899-12-31 07:31:00,"flood",NA,"GEL",NA,NA,NA
"4027","461","SS","ISCO","15.0","TOC",1,7.84,"mg/L","1.0",2021-12-29,2021-12-29,1899-12-31 08:31:00,"flood",NA,"GEL",NA,NA,NA
"4028","461","SS","ISCO","15.0","TOC",1,7.931,"mg/L","2.0",2021-12-29,2021-12-29,1899-12-31 08:31:00,"flood",NA,"GEL",NA,NA,NA
"4029","462","SS","ISCO","16.0","TOC",1,7.583,"mg/L","1.0",2021-12-29,2021-12-29,1899-12-31 09:31:00,"flood",NA,"GEL",NA,NA,NA
"4030","462","SS","ISCO","16.0","TOC",1,7.523,"mg/L","2.0",2021-12-29,2021-12-29,1899-12-31 09:31:00,"flood",NA,"GEL",NA,NA,NA
"4031","463","SS","ISCO","17.0","TOC",1,7.447,"mg/L","1.0",2021-12-29,2021-12-29,1899-12-31 10:31:00,"flood",NA,"GEL",NA,NA,NA
"4032","463","SS","ISCO","17.0","TOC",1,7.117,"mg/L","2.0",2021-12-29,2021-12-29,1899-12-31 10:31:00,"flood",NA,"GEL",NA,NA,NA
"4033","464","SS","ISCO","18.0","TOC",1,7.264,"mg/L","1.0",2021-12-29,2021-12-29,1899-12-31 11:31:00,"flood",NA,"GEL",NA,NA,NA
"4034","464","SS","ISCO","18.0","TOC",1,7.247,"mg/L","2.0",2021-12-29,2021-12-29,1899-12-31 11:31:00,"flood",NA,"GEL",NA,NA,NA
