"SampleID","DateTime","Site","Type","Bottle_number","Event_Date","Stage","DOC_mgL","SRP_ugL","TC_mgL","TDP_mgL","TN_mgL","ions_uM","TOC_mgL","N_DOC_mgL","N_NH4_mgNL","N_SRP_ugL","N_TC_mgL","N_TDP_mgL","N_TN_mgL","N_ions_uM","N_Chloride_mgL","N_NO3_mgNL","N_TOC_mgL","NH4N_color_mgL","Cl_color_mgL","NO3N_color_mgL"
"1075",2021-07-25 21:20:00,"CC","ISCO","16.0",2021-07-25,"flood",8.766,NA,NA,NA,4.3,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1076",2021-07-26 00:20:00,"CC","ISCO","18.0",2021-07-25,"flood",10.41,NA,NA,NA,4.708,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1077",2021-07-26 00:20:00,"CC","ISCO","18.0",2021-07-25,"flood",8.02,NA,NA,NA,3.994,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1078",2021-07-25 19:20:00,"CC","ISCO","13.0",2021-07-25,"flood",7.846,NA,NA,NA,4.649,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1079",2021-07-25 19:20:00,"CC","ISCO","13.0",2021-07-25,"flood",10.14,NA,NA,NA,4.205,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"108",2020-08-31 08:45:00,"UPSS","GRAB",NA,2020-08-30,"flood",69.77,100,NA,NA,8.592,NA,NA,1,1,1,NA,NA,1,NA,1,1,NA,0.69,11.5,0.476
"108",2021-08-18 23:43:00,"SS","ISCO","22.0",2021-08-18,"flood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1080",2021-07-25 23:20:00,"CC","ISCO","17.0",2021-07-25,"flood",9.437,NA,NA,NA,3.712,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1081",2021-07-26 15:54:00,"RC","ISCO","11.0",2021-07-25,"flood",8.66,NA,NA,NA,1.539,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1082",2021-07-26 01:20:00,"CC","ISCO","19.0",2021-07-25,"flood",10.75,NA,NA,NA,4.855,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1083",2021-07-26 15:39:00,"RC","ISCO","10.0",2021-07-25,"flood",8.492,NA,NA,NA,1.377,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1084",2021-07-26 15:39:00,"RC","ISCO","10.0",2021-07-25,"flood",9.319,NA,NA,NA,1.291,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1085",2021-08-18 16:06:00,"RC","ISCO","5.0",2021-08-18,"flood",NA,NA,NA,NA,NA,NA,13.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"1086",2021-08-18 16:51:00,"RC","ISCO","8.0",2021-08-18,"flood",NA,NA,NA,NA,NA,NA,10.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"1087",2021-08-18 16:51:00,"RC","ISCO","8.0",2021-08-18,"flood",NA,NA,NA,NA,NA,NA,10.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"1088",2021-08-18 16:21:00,"RC","ISCO","6.0",2021-08-18,"flood",NA,NA,NA,NA,NA,NA,12.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"1089",2021-08-18 16:21:00,"RC","ISCO","6.0",2021-08-18,"flood",NA,NA,NA,NA,NA,NA,12.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"109",2020-08-31 08:45:00,"UPSS","GRAB",NA,2020-08-30,"flood",NA,NA,62.59,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",2021-08-19 00:43:00,"SS","ISCO","23.0",2021-08-18,"flood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1090",2021-08-18 21:21:00,"RC","ISCO","16.0",2021-08-18,"flood",NA,NA,NA,NA,NA,NA,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"1091",2021-08-18 15:21:00,"RC","ISCO","2.0",2021-08-18,"flood",NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"1092",2021-08-19 01:07:00,"CC","ISCO","21.0",2021-08-18,"flood",NA,NA,NA,NA,NA,NA,9.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"1093",2021-08-18 15:37:00,"CC","ISCO","7.0",2021-08-18,"flood",NA,NA,NA,NA,NA,NA,10.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"1094",2021-08-18 16:07:00,"CC","ISCO","9.0",2021-08-18,"flood",NA,NA,NA,NA,NA,NA,8.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"1095",2021-08-18 16:07:00,"CC","ISCO","9.0",2021-08-18,"flood",NA,NA,NA,NA,NA,NA,9.303,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"1096",2021-08-18 15:22:00,"CC","ISCO","6.0",2021-08-18,"flood",NA,NA,NA,NA,NA,NA,26.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"1097",2021-08-18 15:37:00,"CC","ISCO","7.0",2021-08-18,"flood",NA,NA,NA,NA,NA,NA,11.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"1098",2021-08-18 15:52:00,"CC","ISCO","8.0",2021-08-18,"flood",NA,NA,NA,NA,NA,NA,10.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"1099",2021-08-18 15:52:00,"CC","ISCO","8.0",2021-08-18,"flood",NA,NA,NA,NA,NA,NA,9.914,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"11",2021-09-01 04:29:00,"RC","ISCO","11.0",2021-09-01,"flood",NA,NA,14.185,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",2020-08-31 09:45:00,"SS","GRAB",NA,2020-08-30,"flood",16.44,246,NA,NA,1.988,NA,NA,1,1,1,NA,NA,1,NA,1,1,NA,0.229,9.04,0.0776
"110",2021-08-19 01:43:00,"SS","ISCO","24.0",2021-08-18,"flood",10.21,159,NA,0.206,2.354,1,NA,2,1,1,2,1,2,4,NA,NA,NA,0.0544,NA,NA
"1100",2021-08-19 02:07:00,"CC","ISCO","22.0",2021-08-18,"flood",NA,NA,NA,NA,NA,NA,9.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
