Sample_ID,Measurement_type,Site_abbreviation,Dilution,Event_date_time,Mean_measurement,n
112,DOC_mg/L,SS,1,2020-08-31T09:45:00Z,65.56,1
112,NH4_mg/L,SS,1,2020-08-31T09:45:00Z,0.189,1
112,NO3_mg/L,SS,1,2020-08-31T09:45:00Z,0.0571,1
112,SRP_ug/L,SS,1,2020-08-31T09:45:00Z,366,1
112,TN_mg/L,SS,1,2020-08-31T09:45:00Z,2.12,1
113,TC_mg/L,SS,1,2020-08-31T09:45:00Z,66.27,1
114,CL_mg/L,RV,1,2020-08-31T12:00:00Z,8.16,1
114,DOC_mg/L,RV,1,2020-08-31T12:00:00Z,145,1
114,NH4_mg/L,RV,1,2020-08-31T12:00:00Z,0.276,1
114,NO3_mg/L,RV,1,2020-08-31T12:00:00Z,0.00279,1
114,SRP_ug/L,RV,1,2020-08-31T12:00:00Z,91,1
114,TN_mg/L,RV,1,2020-08-31T12:00:00Z,12.33,1
115,CL_mg/L,RV,1,2020-08-31T12:00:00Z,10.2,1
115,DOC_mg/L,RV,1,2020-08-31T12:00:00Z,113.1,1
115,NH4_mg/L,RV,1,2020-08-31T12:00:00Z,0.262,1
115,NO3_mg/L,RV,1,2020-08-31T12:00:00Z,0.001,1
115,SRP_ug/L,RV,1,2020-08-31T12:00:00Z,98.3,1
115,TN_mg/L,RV,1,2020-08-31T12:00:00Z,11.47,1
116,CL_mg/L,RV,1,2020-08-31T12:00:00Z,8.45,1
116,DOC_mg/L,RV,1,2020-08-31T12:00:00Z,70.03,1
116,NH4_mg/L,RV,1,2020-08-31T12:00:00Z,0.272,1
116,NO3_mg/L,RV,1,2020-08-31T12:00:00Z,0.00331,1
116,SRP_ug/L,RV,1,2020-08-31T12:00:00Z,99.6,1
116,TN_mg/L,RV,1,2020-08-31T12:00:00Z,6.956,1
117,TC_mg/L,RV,1,2020-08-31T12:00:00Z,115.4,1
118,DOC_mg/L,CC,1,2021-08-17T00:28:00Z,8.8265,2
118,DOC_mg/L,SS,1,2020-07-28T00:00:00Z,20.55,1
118,NH4_mg/L,CC,1,2021-08-17T00:28:00Z,0.03145,2
118,SRP_ug/L,CC,1,2021-08-17T00:28:00Z,286.5,2
118,TDP_mg/L,CC,1,2021-08-17T00:28:00Z,0.247,2
118,TN_mg/L,CC,1,2021-08-17T00:28:00Z,2.409,2
119,DOC_mg/L,SS,1,2020-07-28T00:00:00Z,31.95,1
120,DOC_mg/L,SS,1,2020-07-24T00:00:00Z,4.082,1
121,DOC_mg/L,SS,1,2020-07-24T00:00:00Z,3.97,1
122,DOC_mg/L,BMW,1,2021-01-17T11:13:00Z,2.123,1
123,DOC_mg/L,BMW,1,2021-01-17T11:13:00Z,2.781,1
124,DOC_mg/L,BMW,1,2021-01-27T00:00:00Z,2.986,1
125,DOC_mg/L,BMW,1,2021-01-27T00:00:00Z,3.059,1
126,DOC_mg/L,BMW,1,2021-03-03T10:20:00Z,2.679,1
127,DOC_mg/L,BMW,1,2021-04-12T07:45:00Z,2.799,1
127,DOC_mg/L,CC,1,2021-08-17T07:13:00Z,6.824999999999999,2
127,NH4_mg/L,CC,1,2021-08-17T07:13:00Z,0.01935,2
127,SRP_ug/L,CC,1,2021-08-17T07:13:00Z,267.5,2
127,TC_mg/L,CC,1,2021-08-17T07:13:00Z,28.82,2
127,TDP_mg/L,CC,1,2021-08-17T07:13:00Z,0.14100000000000001,2
127,TN_mg/L,CC,1,2021-08-17T07:13:00Z,0.495,2
128,DOC_mg/L,SS,1,2021-08-17T02:16:00Z,7.3715,2
128,NH4_mg/L,SS,1,2021-08-17T02:16:00Z,0.0649,2
128,SRP_ug/L,SS,1,2021-08-17T02:16:00Z,179.5,2
128,TC_mg/L,SS,1,2021-08-17T02:16:00Z,42.54,2
